date,Negative,Neutral,Positive
2020-01-21,19,30,1
2020-01-22,21,78,1
2020-01-23,472,498,26
2020-01-24,358,395,204
2020-01-25,363,448,173
2020-01-26,454,462,59
2020-01-27,605,345,38
2020-01-28,431,505,51
2020-01-29,332,357,28
2020-01-30,375,281,56
2020-01-31,368,395,62
2020-02-01,287,241,25
2020-02-02,219,222,28
2020-02-03,275,266,24
2020-02-04,251,269,26
2020-02-05,326,228,69
2020-02-06,347,219,24
2020-02-07,317,279,30
2020-02-08,343,292,41
2020-02-09,267,245,32
2020-02-10,298,322,44
2020-02-11,304,252,35
2020-02-12,283,309,36
2020-02-13,346,352,41
2020-02-14,297,317,52
2020-02-15,306,259,51
2020-02-16,240,276,105
2020-02-17,245,271,24
2020-02-18,402,239,23
2020-02-19,273,257,23
2020-02-20,260,303,26
2020-02-21,242,287,25
2020-02-22,253,313,15
2020-02-24,239,203,30
2020-02-25,286,203,20
2020-02-26,312,221,14
2020-02-27,437,239,21
2020-02-28,373,244,30
2020-02-29,534,307,47
2020-03-01,549,289,66
2020-03-02,354,244,35
2020-03-03,505,337,41
2020-03-04,452,338,50
2020-03-05,399,226,40
2020-03-06,300,273,47
2020-03-07,290,256,61
2020-03-08,367,263,45
2020-03-09,315,263,39
2020-03-10,337,221,41
2020-03-11,244,186,40
2020-03-12,313,234,38
2020-03-13,315,227,51
2020-03-14,250,206,52
2020-03-15,249,186,75
2020-03-16,252,198,57
2020-03-17,351,221,65
2020-03-18,317,232,59
2020-03-19,357,237,41
2020-03-20,319,259,52
2020-03-21,269,226,58
2020-03-22,371,214,59
2020-03-23,317,261,64
2020-03-24,287,257,75
2020-03-25,299,267,74
2020-03-26,268,240,72
2020-03-27,312,249,62
2020-03-28,282,234,59
2020-03-29,357,222,52
2020-03-30,307,281,94
2020-03-31,314,250,70
2020-04-01,349,257,59
2020-04-02,290,268,82
2020-04-03,267,231,65
2020-04-04,355,248,66
2020-04-05,316,267,66
2020-04-06,296,291,67
2020-04-07,277,264,81
2020-04-08,265,301,62
2020-04-09,262,266,88
2020-04-10,319,246,68
2020-04-11,312,271,53
2020-04-12,248,209,65
2020-04-13,349,262,81
2020-04-14,243,265,66
2020-04-15,372,283,56
2020-04-16,331,281,62
2020-04-17,295,258,74
2020-04-18,296,244,64
2020-04-19,280,279,74
2020-04-20,295,274,59
2020-04-21,324,310,61
2020-04-22,303,274,60
2020-04-23,230,265,77
2020-04-24,292,271,68
2020-04-25,292,282,62
2020-04-26,279,230,74
2020-04-27,272,250,64
2020-04-28,332,293,67
2020-04-29,293,268,71
2020-04-30,276,241,75
2020-05-01,301,247,56
2020-05-02,341,220,69
2020-05-03,273,229,70
2020-05-04,322,271,80
2020-05-05,287,282,67
2020-05-06,301,249,67
2020-05-07,262,288,85
2020-05-08,296,278,71
2020-05-09,327,264,72
2020-05-10,351,281,60
2020-05-11,336,247,89
2020-05-12,373,278,64
2020-05-13,330,238,60
2020-05-14,306,274,58
2020-05-15,318,262,58
2020-05-16,273,254,68
2020-05-17,360,264,35
2020-05-18,318,237,48
2020-05-19,337,208,53
2020-05-20,284,296,54
2020-05-21,302,274,66
2020-05-22,311,314,74
2020-05-23,321,257,73
2020-05-24,404,279,78
2020-05-25,402,221,83
2020-05-26,312,231,77
2020-05-27,334,219,61
2020-05-28,411,271,61
2020-05-29,403,218,58
2020-05-30,377,266,61
2020-05-31,503,196,46
2020-06-01,389,266,51
2020-06-02,357,283,45
2020-06-03,373,227,49
2020-06-04,293,279,60
2020-06-05,335,281,73
2020-06-06,307,212,44
2020-06-07,370,230,50
2020-06-08,314,276,98
2020-06-09,311,249,73
2020-06-10,275,266,63
2020-06-11,316,278,56
2020-06-12,331,295,52
2020-06-13,309,309,44
2020-06-14,309,287,64
2020-06-15,326,295,65
2020-06-16,400,208,48
2020-06-17,368,272,47
2020-06-18,253,306,63
2020-06-19,309,288,101
2020-06-20,385,256,68
2020-06-21,458,190,47
2020-06-22,371,218,69
2020-06-23,342,265,56
2020-06-24,304,296,82
2020-06-25,386,283,57
2020-06-26,383,274,76
2020-06-27,377,261,75
2020-06-28,454,215,57
2020-06-29,449,243,72
2020-06-30,458,250,54
2020-07-01,369,295,74
2020-07-02,374,298,69
2020-07-03,410,228,90
2020-07-04,446,234,78
2020-07-05,419,234,51
2020-07-06,437,263,67
2020-07-07,310,227,58
2020-07-08,342,263,71
2020-07-09,373,293,59
2020-07-10,373,274,78
2020-07-11,370,255,80
2020-07-12,336,267,100
2020-07-13,337,281,75
2020-07-14,398,268,65
2020-07-15,367,274,86
2020-07-16,447,288,43
2020-07-17,409,274,65
2020-07-18,324,270,72
2020-07-19,393,253,48
2020-07-20,365,252,54
2020-07-21,378,227,58
2020-07-22,379,262,77
2020-07-23,360,266,69
2020-07-24,325,310,72
